timestamp,symbol,exchange,direction,quantity,price,product,stop_loss,target,risk_reward,regime,composite_signal,agreement,value,pct_of_capital,status,order_id
2026-03-17T09:40:42.878011+05:30,TECHM,NSE,SELL,3,0,MIS,1396.2,1213.2,1.5,Bear,-0.5331,0.62,3969.0,0.0397,paper,PAPER-20260317094042
2026-03-17T09:40:48.462629+05:30,BPCL,NSE,SELL,16,0,MIS,328.39,260.92,1.5,Bear,-0.4278,0.75,4822.4,0.0482,paper,PAPER-20260317094048
2026-03-17T09:40:56.462699+05:30,BAJAJFINSV,NSE,SELL,2,0,MIS,1865.37,1614.19,1.5,Bear,-0.4142,0.62,3529.8,0.0353,paper,PAPER-20260317094056
2026-03-17T09:46:05.992250+05:30,TCS,NSE,SELL,2,0,MIS,2478.4,2192.4,1.5,Bear,-0.6305,0.75,4728.0,0.0473,paper,PAPER-20260317094605
2026-03-17T09:46:07.764078+05:30,INFY,NSE,SELL,4,0,MIS,1284.53,1125.96,1.5,Bear,-0.4878,0.62,4884.4,0.0488,paper,PAPER-20260317094607
2026-03-17T09:46:12.828020+05:30,HCLTECH,NSE,SELL,3,0,MIS,1375.93,1205.61,1.5,Bear,-0.4698,0.62,3923.4,0.0392,paper,PAPER-20260317094612
2026-03-17T09:46:19.771265+05:30,WIPRO,NSE,SELL,26,0,MIS,200.4,175.0,1.5,Bear,-0.4987,0.62,4946.24,0.0495,paper,PAPER-20260317094619
2026-03-17T09:46:29.008932+05:30,TECHM,NSE,SELL,3,0,MIS,1395.2,1212.2,1.5,Bear,-0.534,0.62,3966.0,0.0397,paper,PAPER-20260317094629
2026-03-17T09:46:34.111867+05:30,BPCL,NSE,SELL,16,0,MIS,328.04,260.57,1.5,Bear,-0.4614,0.75,4816.8,0.0482,paper,PAPER-20260317094634
2026-03-17T09:46:43.669592+05:30,BAJAJFINSV,NSE,SELL,2,0,MIS,1861.17,1609.99,1.5,Bear,-0.4181,0.62,3521.4,0.0352,paper,PAPER-20260317094643
2026-03-17T09:51:52.161567+05:30,TCS,NSE,SELL,2,0,MIS,2486.8,2200.8,1.5,Bear,-0.5941,0.75,4744.8,0.0474,paper,PAPER-20260317095152
2026-03-17T09:51:53.821540+05:30,INFY,NSE,SELL,4,0,MIS,1290.83,1132.26,1.5,Bear,-0.4504,0.62,4909.6,0.0491,paper,PAPER-20260317095153
2026-03-17T09:51:59.513393+05:30,HCLTECH,NSE,SELL,3,0,MIS,1377.53,1207.21,1.5,Bear,-0.4688,0.62,3928.2,0.0393,paper,PAPER-20260317095159
2026-03-17T09:52:05.833257+05:30,WIPRO,NSE,SELL,26,0,MIS,201.5,176.1,1.5,Bear,-0.4957,0.62,4974.84,0.0497,paper,PAPER-20260317095205
2026-03-17T09:52:14.423439+05:30,TECHM,NSE,SELL,3,0,MIS,1397.9,1214.9,1.5,Bear,-0.5315,0.62,3974.1,0.0397,paper,PAPER-20260317095214
